# {"t_start": 1782311387.5428488, "env_id": "PctContinuous-v0"} 
r,l,t
9.298701,67,15.43138
9.739691,70,26.595995
9.368143,68,38.092113
9.698939,72,50.524523
9.731144,74,64.85854
8.838877,65,76.660367
9.102794,63,88.230914
9.327358,67,100.826527
8.558894,62,111.786906
9.297841,70,124.162206
8.888715,64,135.663369
9.191981,66,146.659243
9.473039,72,159.205763
10.017165,74,173.975024
9.207226,66,187.374805
8.178947,58,198.623644
8.703711,62,210.945621
8.761202,65,223.34496
8.200727,62,235.099237
8.965571,69,248.242635
10.508455,78,262.744268
9.279589,70,274.844553
7.064481,48,283.072688
10.062049,72,296.985572
9.373182,67,309.331825
10.071985,77,323.786287
10.266263,74,338.358191
8.985611,67,351.57274
9.425054,66,363.187886
8.49433,59,374.40787
8.449523,60,386.300259
9.674145,73,400.385466
8.317543,60,411.617294
9.89902,73,424.117965
10.362126,81,439.070713
9.857952,71,451.147399
9.407333,64,463.389562
9.665138,68,476.40326
8.819557,65,488.583426
9.217576,72,502.617092
9.08058,66,514.653252
9.481608,71,527.968049
9.433753,69,541.762837
9.684409,73,555.027127
8.916927,62,566.064866
9.961399,77,580.516907
9.005115,67,593.975309
8.656891,65,605.947372
8.779205,67,618.433343
8.311333,62,630.147305
7.497801,56,640.539616
8.927632,65,652.466069
9.03729,60,663.554062
7.290852,52,673.316495
9.066664,68,686.089445
8.333837,62,697.754738
10.141672,78,712.138076
8.998054,66,724.964912
9.008859,69,738.336289
9.455113,68,750.967658
9.827338,75,764.396146
8.92315,65,776.467134
9.41535,69,790.314168
8.915524,64,802.771895
10.238758,73,815.884069
9.865559,72,829.534092
7.686785,53,839.830958
8.866462,63,853.525189
9.783162,73,867.643277
7.332999,52,877.202853
8.648047,61,888.549576
7.679762,53,898.975816
8.57424,61,910.736896
8.136868,59,921.921591
8.94367,66,933.634784
9.742473,71,946.263524
9.305282,73,959.168814
9.924842,73,973.056773
8.542913,59,984.523019
9.812108,69,997.392044
8.959231,58,1007.499763
9.221759,69,1020.51998
10.252616,77,1034.649757
9.138167,67,1045.900027
9.614757,71,1059.292101
9.197492,69,1072.004688
9.925258,76,1086.743352
9.984779,77,1100.094554
