# {"t_start": 1782311387.633663, "env_id": "PctContinuous-v0"} 
r,l,t
9.56115,69,15.50825
8.316347,60,25.526223
9.771462,73,37.568933
8.549232,60,47.944847
9.216661,67,60.727766
9.904073,74,74.529073
9.646552,73,87.640612
9.390367,68,100.226982
9.037513,64,111.653636
9.366711,67,123.512387
9.874192,72,136.556076
8.514037,58,146.082071
9.209457,68,157.845645
9.821287,69,171.899104
8.926071,67,185.316407
9.890102,74,199.631385
8.781558,65,212.363364
9.705154,71,225.78273
9.475341,71,239.570882
9.557853,70,252.869857
9.685212,70,265.57339
9.696416,70,277.493535
9.243695,71,290.928228
8.91681,65,303.242536
8.190266,55,312.841588
8.925236,64,325.073282
10.438758,76,340.198952
10.064065,76,354.711874
8.992944,65,366.561077
8.186046,64,378.377986
10.521458,76,393.67313
8.773879,66,406.81885
7.62659,54,415.673733
9.443778,67,427.581441
9.869878,71,440.588537
9.20971,71,452.967021
8.141894,61,464.534361
9.783964,70,477.926063
10.085427,78,492.709907
9.136947,70,506.301558
8.527891,60,516.884387
8.908741,66,529.655966
9.438908,67,542.857427
8.987885,67,554.954996
9.374571,71,567.731789
9.65059,68,580.442489
9.86946,72,594.707989
9.155614,72,608.06181
9.408605,67,620.707262
8.435479,61,632.209766
8.182124,63,643.801849
9.938347,70,656.529257
9.288612,70,669.798051
8.274514,59,680.720579
8.300313,62,692.838665
8.722856,62,703.766889
9.626949,72,717.3758
8.564398,67,730.511958
10.816709,83,746.022192
9.329654,69,758.76616
8.329767,62,769.911388
9.95352,73,784.201599
9.619112,70,797.935028
9.913107,71,811.291032
9.25829,62,822.924037
9.73545,72,836.556223
9.076847,64,850.052209
9.206883,66,862.589857
8.929176,67,875.448741
9.971032,71,888.81069
8.979021,67,902.107436
9.249585,69,915.590073
9.789492,73,928.802572
9.208486,68,940.770491
8.599036,59,950.842419
9.599215,70,963.460009
9.971607,72,977.502542
9.926621,74,992.143145
8.927242,67,1003.804224
9.70511,75,1017.805079
7.667681,54,1027.702996
8.962043,66,1039.45995
9.884407,72,1052.443345
9.344627,72,1066.15829
8.947677,65,1077.947247
8.437322,67,1090.429336
9.410388,71,1102.611363
9.447957,74,1115.924133
9.985556,68,1128.518815
9.275206,68,1140.790702
8.39527,66,1153.229971
9.497024,70,1165.040872
9.319945,69,1176.646694
9.786825,73,1189.452965
10.055703,73,1202.827643
9.612681,71,1214.981917
9.530334,68,1226.650304
9.098383,65,1237.602526
10.67168,81,1252.308526
9.681908,72,1264.775762
9.885976,73,1277.978981
9.685007,71,1290.612449
10.757911,78,1303.987874
9.592195,67,1315.746734
10.784714,81,1329.082907
10.489845,78,1343.0452
9.383077,66,1354.884003
10.05109,74,1367.56332
10.468115,82,1381.973612
11.365461,86,1397.184279
11.20923,80,1411.168317
10.31891,76,1424.003103
9.805171,71,1436.783788
10.278044,74,1449.323443
10.073125,77,1462.612645
10.604745,79,1476.968351
10.609661,83,1491.128526
10.014889,75,1504.458149
10.913702,82,1518.733764
11.188937,83,1533.954947
10.555272,78,1547.108952
9.747117,68,1558.772882
10.090175,72,1571.421331
11.028826,82,1586.19433
10.315302,81,1600.277865
10.702798,81,1614.801676
