# {"t_start": 1782311387.5676157, "env_id": "PctContinuous-v0"} 
r,l,t
8.720508,62,14.754384
9.488038,72,26.249132
9.59952,68,37.640882
9.993257,74,50.362068
8.801042,68,63.538694
7.722453,54,73.659887
9.947444,69,86.160375
9.782009,73,99.605079
8.857558,65,111.064837
7.905881,62,122.148815
8.16059,55,131.891113
8.487214,62,142.776957
9.752664,69,153.663374
9.167682,66,167.183144
9.683213,70,180.638265
7.278967,53,191.649719
9.834132,71,206.01798
10.258703,72,219.948557
10.209417,78,234.220196
9.000664,61,245.99928
9.195245,65,257.857574
8.946056,70,270.630916
10.270533,74,283.173455
9.728502,72,297.09926
9.433518,69,309.735018
9.559248,68,322.60195
8.892223,60,334.084269
9.64612,66,347.352147
9.597394,73,360.593177
8.953767,69,373.621518
9.658079,75,388.314647
8.62926,63,400.697482
7.382632,52,410.462738
8.585446,62,421.050061
8.27854,62,432.631133
8.717819,61,443.260268
11.508813,84,458.092473
8.014395,58,469.477017
9.815317,72,483.269477
8.854245,64,495.3749
9.686195,70,508.662491
9.265006,66,520.167074
8.013801,59,532.299646
9.72647,68,545.405368
9.029953,67,557.750489
9.696695,76,570.879055
9.941709,74,584.885628
9.093718,64,597.623354
7.352114,50,607.146656
8.952394,68,619.690024
9.510891,66,632.233328
9.587322,69,644.902377
8.623584,63,656.467458
9.077543,66,669.070465
8.837847,59,679.651212
9.419923,70,693.518367
9.155869,66,705.199976
9.038063,64,717.241694
9.042493,67,730.360379
9.315437,68,743.184453
9.706775,70,755.862211
9.732056,74,769.42674
7.941376,56,780.261313
9.594201,68,793.986307
10.596594,79,808.486504
10.278973,70,821.765401
9.575156,69,834.613316
9.22335,71,849.550122
7.943459,61,861.293641
9.331942,66,874.078566
8.655015,63,886.135429
8.850733,62,897.801554
8.516218,62,909.747226
10.065362,80,924.816167
10.493331,75,938.406686
8.059498,56,948.12747
9.904856,75,961.502207
9.090491,65,974.119828
9.566813,73,988.3949
8.908339,64,999.86768
9.960791,72,1012.909553
8.600956,61,1024.340422
6.833079,44,1032.540446
10.344301,78,1045.457833
10.250857,73,1059.297627
8.793444,67,1071.657989
9.919261,73,1085.766538
8.992557,68,1097.52924
9.969532,70,1110.00211
9.992041,70,1122.876273
10.027618,73,1135.916541
8.990648,67,1148.570314
8.946152,66,1160.041597
9.521119,67,1171.187362
9.586834,71,1183.976646
10.276937,72,1196.1563
9.330799,68,1208.804386
9.797006,71,1220.951049
9.908157,75,1233.638658
10.730737,75,1246.979198
9.816135,72,1259.761694
10.322294,75,1273.187158
11.158088,81,1287.554957
9.129794,66,1299.101545
10.050582,73,1311.864143
9.191975,64,1322.417293
10.247677,75,1335.459017
9.695349,76,1349.194917
9.267112,64,1360.239848
8.782547,61,1370.531289
10.717306,80,1384.553585
11.334566,83,1399.302199
10.034639,75,1412.513887
9.474739,69,1424.127153
9.667181,68,1436.355383
10.106689,69,1448.068969
10.335285,78,1461.505716
10.421092,80,1476.113272
9.577942,69,1487.998101
11.06851,83,1502.188468
10.260682,72,1514.661791
10.959706,77,1529.078336
10.523124,74,1542.124613
10.885031,80,1555.852174
9.943545,69,1567.565657
10.413993,77,1581.491396
9.444911,66,1592.897556
9.396533,67,1604.509434
10.85628,79,1618.044537
10.067952,75,1630.905521
9.958317,72,1643.92337
11.650974,83,1658.118924
10.185309,72,1670.82012
