# {"t_start": 1782311387.6447883, "env_id": "PctContinuous-v0"} 
r,l,t
8.20325,63,14.893649
8.991087,65,25.347597
9.036477,66,36.025416
10.330881,75,49.204256
9.526937,69,62.349236
10.737131,76,76.133323
9.520007,67,88.507537
9.198691,68,101.112347
9.473246,67,113.056753
8.996149,68,125.012658
9.667818,71,137.794877
9.422633,76,149.968589
9.0843,67,162.789625
8.132685,59,174.535817
9.271777,64,187.402126
10.339152,73,202.068068
8.68137,59,213.306741
7.787918,58,224.34704
9.356387,74,238.661753
9.07631,65,251.088622
8.963467,64,262.656197
9.096004,69,274.586113
6.772138,43,281.853486
8.155965,57,293.480573
8.604224,62,304.735113
9.421505,67,316.709769
9.451463,73,331.187517
9.07688,70,345.092651
8.542653,60,356.036659
9.275757,69,368.928822
9.124206,69,382.120991
9.183058,71,395.904574
9.800436,68,409.209008
8.398936,57,418.724981
8.273503,64,430.373917
9.396946,67,442.467968
10.137844,75,455.67032
9.553725,69,468.705163
9.044598,66,481.646889
10.000522,76,495.814705
7.599758,53,506.11753
10.180456,70,518.419425
8.673642,68,531.958408
9.652397,72,545.767107
9.634455,66,557.932398
8.378186,56,567.792026
8.864786,65,579.940237
8.670598,59,591.675701
9.902224,74,605.457319
8.06581,60,616.564672
10.43716,82,632.176049
9.751732,71,645.28383
9.296742,67,657.500194
9.6683,75,671.427844
8.900092,66,683.861861
8.714811,64,696.061319
10.461998,76,710.064055
9.175371,64,722.30937
8.415167,63,735.066558
9.43544,68,747.240816
9.74659,69,759.820259
10.10405,72,773.11824
9.75882,70,787.154632
9.903884,73,801.368747
8.748991,60,812.286541
8.016082,55,822.480052
9.495958,70,835.577408
9.460439,67,849.787356
9.012839,63,861.815782
8.855121,64,874.272915
7.771233,58,885.382543
9.185944,66,897.727753
7.753064,56,908.303604
9.031263,66,921.165059
8.291905,62,932.464751
8.806626,65,943.915437
10.040591,71,956.427516
8.555637,60,967.281377
9.6755,72,981.566424
9.17959,67,994.465708
8.613673,62,1005.213169
8.74195,64,1017.210943
9.609518,69,1029.944225
8.510366,65,1041.262239
8.73035,67,1053.498873
9.052351,63,1065.596834
9.38028,69,1078.153405
8.591819,60,1089.489863
8.321803,63,1100.220619
8.908,64,1111.906368
8.383848,59,1122.449993
10.101979,73,1135.441337
10.566185,76,1149.766724
9.542769,68,1161.594313
9.784654,70,1173.216997
10.137309,72,1186.283297
8.924949,63,1197.004592
9.775834,70,1209.893964
9.091389,70,1221.729231
10.053469,76,1234.726796
11.958627,88,1250.413477
9.512205,70,1262.706024
10.005818,69,1274.983802
9.429652,64,1286.328305
10.044395,75,1299.413126
9.444941,68,1311.631603
9.939746,76,1323.900263
10.200174,77,1337.519334
10.638222,77,1351.392091
10.507104,71,1363.900356
9.765769,70,1375.824978
10.412275,79,1389.043398
10.252338,78,1403.113457
10.332937,77,1416.595901
10.858181,79,1430.312779
10.503764,77,1443.729671
9.501211,68,1455.27582
10.185107,73,1468.135378
9.140236,65,1479.745502
11.328293,87,1494.693062
9.823105,69,1506.976525
10.160944,78,1520.853033
9.722594,69,1533.514131
10.683191,77,1546.468383
9.346521,70,1558.375787
10.762073,80,1572.516156
10.489788,78,1586.533159
10.742046,83,1600.947117
10.850195,80,1615.244886
10.147899,74,1627.496356
11.798668,85,1642.571062
10.539918,74,1655.295847
10.728056,82,1669.851392
10.904804,81,1683.856076
10.841281,81,1697.408385
10.823233,77,1710.99206
10.888008,80,1724.728475
9.699615,73,1737.821928
11.169722,78,1750.946263
10.290726,73,1763.236597
10.647338,79,1777.368727
10.735253,83,1792.173751
10.620086,79,1805.886517
11.711948,87,1820.60875
11.484242,87,1836.112906
11.402004,84,1850.546809
10.857526,82,1865.620729
10.413061,77,1879.738915
9.782405,69,1891.986142
11.843145,85,1906.462679
10.173612,72,1919.906015
11.656004,91,1935.971631
11.120383,86,1950.135617
10.150069,79,1964.023135
10.210398,74,1976.642837
11.399299,84,1991.065679
11.22844,84,2005.888543
12.224813,91,2021.476146
11.579267,85,2035.880382
11.344922,85,2050.778569
11.02196,79,2064.351925
10.839839,78,2077.696016
10.385942,74,2090.076632
11.123356,81,2104.838171
10.100742,71,2117.47823
11.030085,79,2131.534464
11.364071,80,2145.526537
11.240826,83,2160.287316
10.57365,78,2174.131177
