# {"t_start": 1782311387.5506523, "env_id": "PctContinuous-v0"} 
r,l,t
9.435136,73,15.905272
8.596887,65,26.725931
10.539062,80,39.751586
10.048554,72,52.390532
8.901135,64,65.37228
10.260868,76,78.90799
8.802727,65,90.709944
8.538714,62,102.497122
9.677083,67,114.351175
9.126442,63,125.573729
8.15878,61,136.869389
10.368018,76,148.945022
9.704427,72,162.461763
9.566997,68,175.79329
8.760178,63,188.583489
10.790096,77,204.054741
9.759392,75,218.603259
9.005585,63,230.479698
9.013864,69,243.62697
8.313152,58,254.595675
8.62545,61,265.696385
9.738596,71,277.867831
8.503984,64,289.820567
8.821069,67,302.652098
9.025024,63,313.584574
9.80412,77,328.672797
9.123544,63,341.219736
9.673255,70,354.381064
9.635646,74,367.942615
7.770648,54,377.825859
8.809537,64,390.717457
8.125307,55,401.61586
10.354065,73,414.496433
8.280858,61,425.344016
9.49923,70,438.156108
8.998022,65,449.104051
9.085115,71,462.513827
7.960788,60,473.913926
8.234612,56,485.000721
10.161966,75,498.951193
7.963953,57,509.884084
9.001736,64,521.23197
9.408396,67,534.558951
7.565978,54,545.262773
9.124708,67,557.566029
10.093725,71,569.987368
7.749216,53,580.138119
9.720369,71,594.168256
8.169632,60,605.190469
9.244281,67,617.618836
9.389228,69,630.656425
8.46294,65,642.765188
8.655519,63,654.262033
8.784982,65,666.216668
9.749686,66,678.468471
9.76624,74,693.057948
8.82419,62,704.106459
9.166886,71,717.507552
8.836701,65,730.255234
8.847611,64,742.267382
7.746851,54,752.299646
9.108474,66,764.266101
8.912444,68,776.820664
9.202736,69,790.667737
8.542005,62,802.786867
9.979083,72,815.690299
8.006669,58,827.127694
9.563776,74,840.894918
9.849795,68,855.317964
9.187544,65,868.191005
9.770296,73,881.699432
9.407366,69,894.822886
9.275695,66,907.329107
8.640273,64,920.189251
10.032501,72,932.819848
4.46006,25,937.293533
9.498527,68,949.206577
8.288399,61,960.118779
8.870818,64,972.254826
8.073198,62,984.385401
8.388752,61,995.755113
9.922807,72,1008.273661
9.692084,69,1021.454308
9.405999,69,1034.103181
7.865822,59,1043.849143
9.674003,73,1057.524131
10.792659,78,1071.918713
9.452159,66,1084.791097
9.994726,72,1097.303799
8.625241,59,1107.53882
10.251497,75,1121.5456
9.837258,70,1134.007437
9.978867,71,1147.335809
9.258973,66,1158.930107
10.405525,78,1172.015957
11.284657,80,1186.528037
10.39917,76,1199.90905
10.634244,80,1214.025606
8.456759,57,1223.81891
9.909482,73,1236.208551
9.755848,74,1249.434153
9.632597,72,1261.958127
9.797831,72,1274.864705
9.448326,70,1287.362525
11.077353,78,1300.861721
10.91021,79,1314.66473
9.618201,74,1326.9094
10.831321,80,1341.131809
9.769299,71,1353.824913
11.003639,84,1368.167461
10.819335,80,1382.213408
11.132537,82,1396.695483
10.402557,77,1410.156362
10.326819,71,1422.19274
10.602671,76,1435.703616
10.135353,69,1447.688982
10.869288,78,1461.023192
10.061449,72,1474.11311
9.852478,73,1486.806363
10.960908,80,1500.295935
10.982585,79,1514.163109
9.662384,72,1527.728799
11.259076,82,1542.143644
10.088609,71,1554.320199
9.657998,74,1566.761153
11.191395,85,1582.183925
10.767668,80,1595.963383
10.650885,81,1610.458984
12.20904,90,1625.73125
10.595543,74,1638.381448
10.688219,79,1652.40573
10.937355,77,1665.81793
10.480346,79,1679.841979
10.132257,74,1692.241989
10.467012,74,1704.99767
11.102184,83,1719.272265
10.811367,81,1733.946441
10.423128,74,1746.005169
9.734976,74,1758.754582
10.965985,79,1772.699859
10.668039,77,1786.361307
10.383159,76,1799.63501
10.904043,77,1812.437613
10.477848,79,1826.532391
11.086159,83,1841.342322
10.447522,74,1853.930219
11.25998,85,1869.79597
11.036317,83,1884.59415
11.122889,81,1898.503106
11.858995,84,1913.396381
11.350134,87,1929.23614
11.126972,80,1943.000051
10.443581,77,1955.995567
11.459271,80,1969.854243
11.241099,82,1983.671487
11.175748,79,1997.673777
10.528687,77,2010.799878
11.523625,86,2026.075036
10.620302,84,2040.441772
10.156805,76,2053.816353
11.3114,84,2068.215562
11.169195,80,2081.537892
10.938092,76,2095.040165
11.270781,80,2108.872588
