# {"t_start": 1782311387.5793831, "env_id": "PctContinuous-v0"} 
r,l,t
9.898648,71,15.760282
8.279248,62,26.11921
9.044863,69,37.650169
8.875236,63,48.531772
8.641285,63,60.525316
9.49209,68,73.34866
8.727431,61,84.188479
7.906325,54,93.664026
9.189145,70,106.456882
8.881384,66,118.05193
9.349658,67,130.347113
10.002288,71,143.008631
9.023658,69,153.845946
9.451754,71,168.545106
8.868597,67,181.302846
9.545219,74,196.289816
9.112667,64,209.130219
8.241013,56,220.3349
7.67856,59,230.990299
9.650402,67,243.755358
9.791222,73,257.18048
8.972516,69,269.767295
10.815543,78,282.972021
9.158745,68,296.334145
9.652669,69,308.979458
10.293968,76,323.13542
7.91935,57,334.104139
9.090421,69,348.032542
8.341192,59,358.770506
8.799757,64,371.016604
9.032375,66,383.711834
10.070057,75,397.853836
9.404823,66,410.57938
9.383333,68,422.189547
9.30739,68,434.754141
9.316131,65,445.982839
8.680902,65,457.810804
10.220833,74,471.787623
9.454353,72,485.799708
8.816136,63,497.705225
9.177694,71,511.268881
7.544857,55,520.796102
8.80681,64,533.702597
9.292736,67,546.420219
9.90572,72,559.376783
9.964118,74,572.646422
7.85342,55,583.345824
9.882639,72,597.44276
9.200718,69,610.224924
8.668245,64,622.506836
9.504307,72,635.835565
8.8212,65,647.660308
9.193891,66,659.883702
8.322337,60,671.18178
8.592255,63,682.943511
9.892378,79,697.81463
7.850181,62,709.51682
9.009899,63,721.485088
9.963301,69,735.216358
9.276507,68,747.629289
8.979762,66,759.575835
10.638487,77,773.704728
9.105244,64,786.597813
10.025904,75,801.222286
8.654018,60,812.295629
7.785408,57,822.765909
9.717557,69,835.643309
8.26464,64,849.169808
10.6222,79,864.53986
8.843386,64,876.869162
8.71944,64,888.718508
9.218558,65,901.579452
8.706109,64,914.159917
10.407692,77,928.186965
8.893984,71,940.726688
9.492223,66,951.984707
9.470563,74,965.462058
8.955023,70,979.300699
8.526037,60,991.115646
9.573409,66,1002.71044
8.713787,67,1014.895263
9.332236,72,1028.227566
9.162092,67,1040.283981
9.54784,68,1052.464584
9.559059,72,1066.183989
8.457243,57,1076.415204
9.099344,67,1089.200549
8.337652,63,1099.946904
9.693538,73,1113.20428
8.57903,59,1123.883697
10.375026,71,1136.569139
9.222645,72,1150.104884
9.538682,74,1162.988133
8.992374,62,1173.197415
9.765351,69,1185.751581
10.807633,80,1199.702613
9.554435,74,1212.85375
10.045265,74,1225.426259
10.789336,79,1238.714443
10.992202,83,1253.940655
10.263264,79,1267.466115
10.472639,77,1281.523987
10.405225,78,1295.152653
11.21482,86,1310.469371
9.816382,72,1322.181677
11.16471,81,1336.357663
10.052766,76,1350.116814
10.607091,80,1364.083282
10.110283,71,1376.327017
9.400829,71,1388.234246
9.246621,69,1400.728007
9.71125,68,1412.667732
10.412484,73,1424.95224
10.101261,76,1438.513492
10.122659,82,1452.506933
10.534687,73,1465.126416
11.168231,81,1479.586339
9.504717,73,1492.206061
11.311405,84,1507.001948
10.430928,77,1520.672775
10.618585,80,1535.237432
11.295875,82,1549.033002
11.597299,84,1563.453473
10.771746,78,1577.736455
9.856851,73,1590.449613
11.422894,81,1604.488599
9.693395,71,1616.883519
10.531404,79,1630.234939
10.440662,77,1643.940321
10.81953,78,1657.577123
9.776402,69,1669.755303
11.560854,88,1684.676659
10.830635,76,1697.60439
10.843268,81,1711.814437
10.11139,69,1723.61705
10.873695,83,1738.46018
9.69981,69,1750.323376
10.537165,79,1763.481289
10.422794,77,1777.238006
10.894043,77,1791.076693
11.439718,83,1805.468048
11.342477,79,1818.865635
9.980213,71,1831.54521
10.70798,80,1845.529311
11.358068,89,1861.324248
12.229375,92,1878.237736
10.552203,71,1890.640539
10.949068,81,1904.940122
11.215391,84,1920.053456
10.614687,80,1934.405754
10.40879,75,1946.998932
11.073892,80,1960.6137
11.238026,84,1975.099758
11.68076,83,1989.305838
9.405439,67,2001.04887
10.222603,71,2012.868691
10.18551,76,2026.370616
11.736961,84,2040.798752
10.609591,77,2054.258784
10.462817,76,2067.351352
10.175504,76,2079.848724
11.253997,83,2094.716427
10.357683,77,2108.09483
11.596271,83,2123.151659
10.714119,74,2135.858293
10.982858,82,2150.745878
11.160407,84,2165.474877
9.258829,64,2177.29734
11.857945,85,2191.665644
11.107586,79,2205.478477
11.33673,82,2219.73591
10.686767,75,2232.609918
12.104134,88,2247.501201
10.994153,82,2261.814847
9.898543,74,2274.944602
11.666932,84,2289.676596
12.092955,93,2306.365623
11.46315,85,2320.955825
9.689418,71,2333.515351
10.770512,79,2346.817182
11.637233,84,2361.522638
11.035402,79,2376.480288
11.176911,78,2389.45479
11.152875,83,2404.318891
12.319525,90,2419.621708
11.694556,83,2433.875722
10.473165,77,2447.815525
10.818148,79,2461.785374
10.679572,76,2475.435999
11.886603,88,2491.101495
11.832177,88,2506.831475
10.687692,80,2520.403007
10.886578,79,2534.433152
11.101963,79,2548.935973
10.88961,77,2563.093823
11.706979,88,2578.601339
11.612038,82,2593.34412
11.404428,85,2607.792288
11.081981,84,2622.17021
10.85795,77,2635.613396
11.319145,88,2650.585865
11.330434,86,2666.160851
9.911391,71,2678.664771
11.311231,84,2693.484889
12.133679,89,2708.935236
11.305364,81,2723.207316
10.802745,78,2736.596795
11.66366,84,2751.443166
11.346988,88,2767.574853
10.834779,83,2782.317405
11.063733,77,2795.73937
10.725162,77,2810.075524
11.433304,84,2825.133962
11.70149,87,2840.716254
11.46193,87,2856.30082
12.077159,89,2872.650798
11.703613,86,2888.544416
10.959543,81,2902.586446
12.265067,92,2918.836102
11.224077,81,2933.080648
12.130158,90,2949.320057
11.709767,86,2965.096074
11.677353,85,2979.94981
10.284191,77,2994.234834
11.401478,79,3008.591045
9.356921,70,3021.445317
10.566828,76,3034.860131
10.910098,79,3049.075275
11.028305,82,3063.995705
10.664191,79,3078.500957
11.563893,87,3094.339343
11.218884,84,3109.760197
11.106795,80,3124.357107
11.345934,84,3139.712693
12.635193,92,3156.84147
11.504604,80,3171.471852
11.435504,84,3186.859566
11.134228,78,3201.262985
11.588559,87,3217.661944
11.789522,90,3234.405953
11.250601,83,3249.841056
11.266612,85,3264.900865
10.613463,81,3279.153749
11.707012,83,3293.96825
12.434724,91,3309.626366
11.16695,80,3324.412338
10.980093,78,3338.755797
11.409645,83,3353.646976
11.25353,82,3368.409917
11.810767,80,3383.752658
12.195623,89,3399.439061
11.104826,81,3414.098094
11.958905,85,3429.801842
11.900736,84,3444.288344
10.663364,79,3458.228603
11.663554,83,3472.855707
11.543351,82,3487.086866
11.691174,89,3502.506879
10.87487,80,3516.670249
10.686645,79,3531.154889
11.690613,84,3545.968491
11.408119,85,3560.555384
11.761966,87,3576.299376
11.952662,91,3592.279327
11.970407,92,3608.781101
11.789708,92,3625.599395
12.110624,88,3641.607233
10.552382,73,3655.329765
12.504638,91,3672.889849
10.650063,79,3686.585689
11.370443,81,3700.992068
11.037294,83,3716.122183
11.886922,89,3732.388622
